ID,Timestamp (DD/MM/YY H:M:S),Tweet URL,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined (MM/YYYY),Following,Followers,Location,Tweet,Tweet Translated,Tweet Type,Date Posted (DD/MM/YY H:M:S),Screenshot,Content Type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,"No. of Days since Philippines Joined the COVAX Facility (Jul 24, 2020)","No. of Days since FDA Approved the First COVID-19 Vaccine (Dec 11, 2020)","No. of Days since Arrival of First Batch of COVID-19 Vaccine Doses Committed by the COVAX Facility (Mar 04, 2021)","No. of Days since First Detected Cases of Omicron Variant in the Philippines (Aug 02, 2022)",Mentioned or Referenced COVID-19 Vaccine Brand,Mentioned or Referenced Other Vaccine/Drugs,Peddled Medical Adverse Side Effect,Distrust in Vaccine Development,"Racial, Religious, Cultural, Economic, or Socio-Political Keywords",Oppressive Keywords,Reviewer,Review
27-26,31/03/2023 00:45:48,https://twitter.com/YolandaQueens/status/1481524809246785541,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaxx, sakit, COVID",@YolandaQueens,"Y O L A N D A
",None,Anonymous,03/2018,774,45,Philippines,"Kaya Pala Doc pinatigil ang counting sa mga cities NG counting NG vaxx and unvaxx cases kc lumalabas na Mas mdming fully vaxx na nagka sakit 😂

My tinatago ba? Ayaw Malaman ang totoo???
O Mali kc ang pangako na protektado pag na vaccine na..","Doc, so that's why they stopped the tallying OF counting OF vaxx and unvaxx cases because it turns out that more fully vaxx who get the virus int the cities 😂

Are they hiding something? Don't want to know the truth???
Or the promise to be protected when vaccinated is fraudulent..",Reply,13/01/2022 15:13:00,,Emotional,4,1,0,,,FALSE,"COVID-19 vaccines are tested and proven to prevent contracting the virus.  There is no guarantee that the individual will no longer be infected but the symptoms are mitigated. Vaccines do not contain the live virus that may cause COVID.

[https://www.nfid.org/infectious-diseases/frequently-asked-questions-about-covid-19-vaccines/]",Lacks account bio and is not identifiable.,538,398,315,-201,None,None,COVID ITSELF,YES; Other Conspiracy,Doc,None,,
27-27,31/03/2023 01:09:57,https://twitter.com/k4ats/status/1522474196357378048,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","efficacy, sakit, vaccine",@k4ats,klk,None,Anonymous,12/2010,840,284,Philippines,"@piacayetano
Mam my twitter account po kayo nakikita niyo naman po siguro sa ibang bansa Maraming namatay at nagkasakit ng dahil sa vaccine dapat din po ba natin gawin yun sa ating mga kababayan? Ang Pfizer data po naglabas ng efficacy nila na 12% for 2weeks then after 1% efficacy","@piacayetano
Mam, you have my twitter account, maybe you see it in other countries. Many people died and got sick because of the vaccine, should we do the same to our countrymen? The Pfizer data released their efficacy of 12% for 2weeks then after 1% efficacy",Reply,06/05/2022 15:11:00,,Rational,0,0,0,,,FALSE,"There are rare instances of deaths after getting COVID-19 vaccine, which only apply to individuals who have pre-existing medical conditions. Furthermore, Pfizer's vaccine has a higher efficacy rate than what is being claimed by the tweet.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",Lacks account bio and is not identifiable.,651,511,428,-88,Pfizer,None,"DEATH, INEFFICIENCY",YES; Other Conspiracy,"ibang bansa, Pia Cayetano, countrymen",None,,
27-28,31/03/2023 01:21:04,https://twitter.com/KimIverest/status/1486013351251836929,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, mRNA, deadly, vax",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Anonymous,11/2021,35,6,Philippines,"DR. ROBERT MALONE, inventor of mRNA, WORLD'S TOP VACCINOLOGIST / scientist call for a HALT to coercive & forced vax. Mass vax will cause more deadly mutations of covid virus plus vaccines have deadly side effects

@sofiatomacruz
 
@maracepeda
 
@mariaressa

https://t.co/YF11zal8HR",,URL,26/01/2022 00:29:00,,"Rational, Transactional",0,0,0,,,FAKE,"The main reference linked in the tweet was already debunked by other fact-checking institutions.

[https://www.washingtonpost.com/health/2022/01/24/robert-malone-vaccine-misinformation-rogan-mandates/]

As per another article, Robert Malone is a doctor and researcher who falsely claims that he invented mRNA and was discredited for decades.

[https://www.nytimes.com/2022/04/03/technology/robert-malone-covid.html]",,551,411,328,-188,None,None,"DEATH, OTHER AILMENT (dangerous side effects from virus mutation)",YES; Other Conspiracy,World's Top Vaccinologist,None,,
27-29,31/03/2023 01:36:03,https://twitter.com/NestorBAguilar5/status/1605951055312756742,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, injection, patay, bio",@NestorBAguilar5,Nestor B. Aguilar,Truth Seeker,Identified,04/2022,2618,1092,Philippines,"@DOHgovph
Tanga hindi yan bakuna, ang covid-19 injection ay bioweapon/poison at naka mamatay. Na ang tawag ni Digong--ng ay Berus.👍👍👍👍    ","@DOHgovph
Stupid, that's not a vaccine, the covid-19 injection is a bioweapon/poison and can kill. That Digong--ng's name is Berus.👍👍👍👍    ",Reply,22/12/2022 23:39:00,,Emotional,0,0,0,,16,FAKE,"The tweet's claim that vaccines are bioweapons is baseless. Additionally, while there are rare instances of deaths after getting COVID-19 vaccine, these only apply to individuals who have pre-existing medical conditions.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",Text bio is inadequate but the account is identifiable through personal posts and photos.,881,741,658,142,None,None,"DEATH, OTHER AILMENT (poisoning)",YES; Vaccine Content,"DOH, Digong",tanga,,
27-30,31/03/2023 02:28:53,https://twitter.com/k4ats/status/1489522781117366274,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","astra, pfizer, moderna, stop",@k4ats,klk,None,Anonymous,12/2010,840,284,Philippines,"Like what PFIZER ,MODERNA,ASTRAZENICA IS DOING TO PEOPLE it is having everyone by killing them it is not safe for human what it should be called is ""KILLER DRUGS"" stop mandating. ""STOP JAB""",,Reply,04/02/2022 16:54:00,,Emotional,0,0,0,,,FALSE,"While there are rare instances of deaths after getting COVID-19 vaccine, these only apply to individuals who have pre-existing medical conditions and is not caused by the vaccines themselves.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",Lacks account bio and is not identifiable.,560,420,337,-179,Multiple,None,DEATH,YES; Other Conspiracy,None,None,,
27-31,31/03/2023 02:46:29,https://twitter.com/FighterNids/status/1605934039445168132,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","omicron, patay, bakuna",@FighterNids,nids fighter,None,Anonymous,12/2022,53,8,Philippines,"fake news,pananakot na naman the truth rally is over china because  of covid restriction and now china  no more scanning qr code..at ang namamatay ngayon na tumataas ay dahil sa bakuna at hindi sa sinabi niyong omnicron na fake news","fake news, intimidation again, the truth is the rally is over in china because of covid restriction and now china does not implement scanning qr code anymore.. and the death rate is increasing now because of the vaccine and not the omnicron, that is fake news",Reply,22/12/2022 22:31:00,,"Rational, Emotional",0,0,0,,7,FALSE,"The surge of COVID cases in China during the time of the tweet's posting was not due to the ""inefficacy"" of vaccines. It was because the country relaxed its COVID testing and quarantine policies nationwide.

[https://www.aljazeera.com/news/2022/12/31/share-data-who-again-tells-china-during-covid-surge-talks]",Lacks account bio and is not identifiable.,881,741,658,142,None,None,"DEATH, INEFFICIENCY",YES; Other Conspiracy,China,fake news,,
27-32,31/03/2023 03:59:10,https://twitter.com/KimIverest/status/1476174372314353667,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","covid, delta, omicron, vaccine",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Anonymous,11/2021,35,6,Philippines,"@rowena_guanzon and  @COMELEC
Vax dont prevent infection. Vaccinated can still get covid & die--delta or omicron variant. 

The immune people fr covid r those who got sick fr it. It's one & done - World's top medical doctor Peter McCollough said. 

Therefore vsccines dont prevent transmission and infection.","@rowena_guanzon and  @COMELEC
Vax dont prevent infection. Vaccinated can still get covid & die--delta or omicron variant. 

The immune people from covid are those who got sick from it. It's one & done - World's top medical doctor Peter McCollough said. 

Therefore vaccines dont prevent transmission and infection.",Reply,09/12/2021 20:52:00,,Rational,1,0,0,,,FALSE,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms and it doesn;t imply that the vaccine is not effective.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,503,363,280,-236,None,None,"DEATH, INEFFICIENCY",YES; Other Conspiracy,"COMELEC, Rowena Guanzon",None,,
27-33,31/03/2023 13:54:59,https://twitter.com/christusrex_est/status/1601004388021317632,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, COVID, lason",@christusrex_est,freethinker,"Freedom of speech, freedom of thought 🕊Pronouns : nor/mal",Anonymous,07/2020,58,3,Philippines,"Dude it’s time to stop being ignorant. Panahon na para magsalita laban sa lason, este, covid bakuna","Dude it's time to stop being ignorant. It's time to speak out against poison, I mean, covid vaccines",Reply,09/12/2022 08:02:00,,Emotional,3,0,0,,,FALSE,"COVID-19 vaccines passed rigorous clinical trials and are not poisonous to humans.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,868,728,645,129,None,None,OTHER AILMENT (poisoning),YES; Other Conspiracy,None,ignorant,,
27-34,31/03/2023 13:55:02,https://twitter.com/rahnLloydilisc1/status/1605351861430931456,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","bakuna, COVID, China",@rahnLloydilisc1,rahn Lloyd iliscupidez,"Admin Staff 
@AllcardInc
",Identified,10/2022,394,24,Philippines,Grabe sa China Mahinang Klase ang Bakuna nila Kya Tumataas ang Kaso ng COVID dun Magingat po tau. #Magpabooster.,"It's bad in China, their vaccine is poor quality, and the cases of COVID are increasing there, be careful. #Magpabooster .",Reply,21/12/2022 07:58:00,,"Rational, Emotional",1,0,0,,60,INACCURATE,"The surge of COVID cases in China during the time of the tweet's posting was not due to the ""poor quality"" of their vaccines. It was because the country relaxed its COVID testing and quarantine policies nationwide.

[https://www.aljazeera.com/news/2022/12/31/share-data-who-again-tells-china-during-covid-surge-talks]",,880,740,657,141,None,None,INEFFICIENCY,YES; Vaccine Trials,China,None,,
27-35,31/03/2023 14:14:13,https://twitter.com/KimIverest/status/1476765443872665602,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, COVID, death",@KimIverest,Kim Iverest,Traveler. Investigative Journalist.,Anonymous,11/2021,35,6,Philippines,"@WHO
Stop your foolish FAKE NEWS! Many vaccinated have already from covid. There are more than 45,000 vaccine deaths and 935,000 vaccine injuries that you, WHO, is part of these crimes of genocide! Stop fooling humanity! 

@rapplerdotcom
 
@UNCHRSS
 
@inquirerdotnet",,Reply,31/12/2021 12:01:00,,"Rational, Emotional",2,0,1,,,FAKE,"Statistics from this tweet is baseless. There are rare instances of deaths after getting COVID-19 vaccine, which only apply to individuals who have pre-existing medical conditions and are not caused by the vaccine itself.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",,525,385,302,-214,None,None,"DEATH, OTHER AILMENT (injuries)",YES; Vaccine Distribution,"WHO, Rappler, UNCHRSS, Philippine Daily Inquirer","foolish, genocide",,
27-36,31/03/2023 14:14:14,https://twitter.com/4Setta/status/1604987590637387777,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, infect, vacc, patay",@4Setta,: 🪬 4Barbelo,All things bright & beautiful!💋,Anonymous,09/2010,418,117,Philippines,Protection? Bakit na infect pa din yong mga bakunado at nakaka infect pa din sila? Show statistics ng vacc and unvacc sa mga newly infected at sa mga namatay. Clean stats not rigged.,Protection? Why are the vaccinated still infected and are they still infected? Show statistics of vacc and unvacc among the newly infected and those who died. Clean stats not rigged.,Reply,20/12/2022 07:50:00,,Rational,1,0,0,,18,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms and it doesn;t imply that the vaccine is not effective.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]","Has a dubious location (""-- Earth""), ",879,739,656,140,None,None,"DEATH, COVID ITSELF",YES; Other Conspiracy,DOH,None,,
27-37,31/03/2023 14:37:32,https://twitter.com/Dad0nline/status/1597026116291932161,27,"Castañeda, Rain",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, experiment, patay",@Dad0nline,Dad Online,"Truth hurts. i don't care if you`re offended. 
Love it, embrace it. Truth is never offensive to those who embrace it. Truth = Love and Freedom.",Anonymous,11/2022,195,10,,,,,,,,,,,,,,,,-44036,-44176,-44259,-44775,,,,,,,,
27-38,29/03/2023 19:42:37,https://twitter.com/adaile_seniuq/status/1439030932283871235?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@adaile_seniuq","KoG",None,Anonymous,09/2021,5,2,"NCR, Valenzuela City","This is so true! Kung epektibo ang vaccine bakit madaming na mamatay na vaccinated, not from covid but from the deadly side effects ng bakuna! Ito ang katotohanang  hindi binabalita at pilit na tinatago ng media. Why????","This is so true! If the vaccine is effective, why do so many die after being vaccinated, not from covid but from the deadly side effects of the vaccine! This is the truth that the media does not report and tries to hide. Why????",Reply,18/09/2021 08:58:00,,Emotional,0,0,0,,,FALSE,"It is a proven fact that while COVID-19 vaccines have side effects, they are only short term and are not dangerous enough to cause death.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/covid-19-vaccines-myth-versus-fact]",Account does not have a bio and is not identifiable. ,421,281,198,-318,None,None,DEATH,YES; Other Conspiracy,media,None,,
27-39,30/03/2023 10:39:34,https://twitter.com/diegoSi98482304/status/1343532194082406400?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine, patay","@diegoSi98482304","diego Silang","patriot. free. global journalist",Anonymous,07/2020,69,5,Philippines,"Ganito yon. Yung na-vaccinate ng deadly sinovac ay di na pwede sa pfizer, moderna, or aztra zeneca vaccines na mat 95.5% safety and efficacy. Patay sa side effects yung nabigyan ng sinovac kasi yan ay hindi effective vs covid 19! @limbertqc @lenirobredo @risahontiveros @DOHgovph","It's like this. Those who have been vaccinated with the deadly sinovac can no longer take the pfizer, moderna, or aztra zeneca vaccines that have 95.5% safety and efficacy. The one who was given sinovac died from the side effects because that is not effective against covid 19! @limbertqc @lenirobredo @risahontiveros @DOHgovph",Reply,28/12/2020 20:20:00,,Emotional,0,0,0,,,FALSE,"Sinovac Vaccine Trials show that they are effective against COVID-19, with 51% efficacy against symptomatic SARS-CoV-2 infection, 100% against severe COVID-19, and 100% against hospitalization.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]

In addition, it is a proven fact that while COVID-19 vaccines have side effects, they are only short term and are not dangerous enough to cause death.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/covid-19-vaccines-myth-versus-fact]""",The account owner consistenly retweets and posts in the platform but it is uncertain whether they are using their real name or a fictional alias.,157,17,-66,-582,Multiple,None,INEFFICIENCY,YES; Vaccine Trials,"Albert Lim, Leni Robredo, Risa Hontiveros, DOH",None,,
27-40,30/03/2023 11:28:24,https://twitter.com/dzbb/status/1439152845039681539?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, vaccine, patay","@dzbb
","DZBB Super Radyo","The official Twitter account of Super Radyo DZBB 594 kHz, the flagship AM radio station of GMA Network, Inc.",Media,01/2012,947,257500,"NCR, Quezon City","Panawagan ng grupo, itigil na ang pagsusuot ng facemask, lockdown at pagbabakuna kontra COVID-19 dahil wala umanong COVID-19. | via 
@jhomer_apresto","The group's appeal is to stop wearing facemasks, lockdown and vaccination against COVID-19 because there is no such thing as COVID-19. | via @jhomer_apresto
",Video,18/09/2021 17:02:00,,Rational,6910,0,458,27500,1600000,FALSE,"The group claims that vaccines are deadly and that many people are already dyrng from it. However, COVID-19 Vaccines are considered safe by the U.S. FDA by the CDC.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/is-the-covid19-vaccine-safe]",DZBB Super Radyo posted a video of the group saying that deaths are caused by vaccines and that many are already dying from it,421,281,198,-318,None,None,DEATH,YES; Other Conspiracy,None,None,,
27-41,30/03/2023 12:25:30,https://twitter.com/Maria15002/status/1426457976798277633?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@Maria15002","Maria",None,Anonymous,01/2018,786,416,Philippines,"Ang usapin Ngayon 
@DrTonyLeachon
  bakit ngayong my bakuna na bt mas marami ang my covid? Bakit Sabi nyo mahawa man pg my bakuna Hindi malala bakit myroon nasaksakan na kritikal ng mgkaroon ng covid tas myroon kinabukasn Patay. Halos my bakuna ang my mga covid Ngayon?","The issue today 
@DrTonyLeachon
 is why now that my vaccine has more covid? Why did you say that even if I got infected with my vaccine, it's not bad, why are there people who have been critically stabbed with covid, and there are people who are dead the next day. My covids are almost my vaccine now?",Reply,14/08/2021 16:17:00,,Emotional,0,0,0,,,MISLEADING,"The spike in COVID cases during the posting of this tweet is due to the Delta variant. Increase in fatality rate was not caused by the vaccines.

[https://www.philstar.com/headlines/2021/08/01/2116853/ncr-spike-covid-19-cases-suggest-delta-variant-community-transmission-octa]",Lacks account bio and is not identifiable.,386,246,163,-353,None,None,"COVID ITSELF, DEATH",YES; Other Conspiracy,None,None,,
27-42,30/03/2023 12:51:02,https://twitter.com/kaliwatlapulapu/status/1388990739137409031?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@kaliwatlapulapu","Kaliwat Ni Lapu-lapu","kaliwat ni lapu-lapu",Anonymous,12/2016,2072,226,Region VII,"Bakuna ng china 50%buhay ka, 50%patay ka

Cop who got 1st Sinovac dose dies of COVID-19

https://newsinfo.inquirer.net/1425825/cop-who-got-1st-sinovac-dose-dies-of-covid-19","China's vaccine is 50% alive, 50% dead

Cop who got 1st Sinovac dose dies of COVID-19

https://newsinfo.inquirer.net/1425825/cop-who-got-1st-sinovac-dose-dies-of-covid-19",URL,03/05/2021 06:56:00,,"Rational, Emotional",0,0,0,,,MISLEADING,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet misleads by claiming that Sinovac vaccines only has a 50% of keeping you safe and alive from COVID-19.  

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,283,143,60,-456,Sinovac/CoronaVac,None,DEATH,YES; Vaccine Trials,China,None,,
27-43,30/03/2023 14:16:39,https://twitter.com/itsleonorrivera/status/1420744316599685124?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, effective",@itsleonorrivera,"Leonor Rivera 👑",Name sake ng first love ni Gat Jose Rizal | Quiet in person | Outspoken sa Twitter | Microblogging my random thoughts | I block TROLLS 👻,Identified,04/2021,984,1426,Philippines,"Ang masaklap, ay yung binibiling bakuna hindi effective laban sa Covid-19. Parang nasasayang lang yung budget di ba? Eh sa pagkakaalam ko, mas mahal ang Sinovac sa Pfizer. Pero Sinovac hindi naman effective

https://theguardian.com/world/2021/jun/28/indonesian-covid-deaths-add-to-questions-over-sinovac-vaccine","The worst thing is that the vaccine that is being bought is not effective against Covid-19. It seems like the budget is wasted, doesn't it? As far as I know, Sinovac is more expensive than Pfizer. But Sinovac is not effective

https://theguardian.com/world/2021/jun/28/indonesian-covid-deaths-add-to-questions-over-sinovac-vaccine",Reply,29/07/2021 09:53:00,,"Rational, Emotional",8,1,1,,,INACCURATE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is inaccurate since Sinovac vaccines are still effective against COVID-19. 

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]","Has a dubious location (""Middle Earth""), ",370,230,147,-369,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,"budget, mas mahal",None,,
27-44,30/03/2023 17:17:26,https://twitter.com/FouSurLaColline/status/1405831028195741700?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, bakuna, walang kwenta","@FouSurLaColline
","Mali John II","Smart and witty country bumpkin.",Identified,10/2012,1282,1330,"Maputo, Mozambique","WALANG KWENTA KASI ANG BAKUNA NG TSINA

The Persian Gulf island nation of Bahrain, battling a sharp resurgence of Covid-19 despite high levels of inoculation with a Chinese-made vaccine, has started giving booster shots using the Pfizer shot

https://wsj.com/articles/bahrain-facing-a-covid-surge-starts-giving-pfizer-boosters-to-recipients-of-chinese-vaccine-11622648737?reflink=desktopwebshare_twitter via 
@WSJ","""BECAUSE CHINA'S VACCINE IS USELESS

The Persian Gulf island nation of Bahrain, battling a sharp resurgence of Covid-19 despite high levels of inoculation with a Chinese-made vaccine, has started giving booster shots using the Pfizer shot

https://wsj.com/articles/bahrain-facing-a-covid-surge-starts-giving-pfizer-boosters-to-recipients-of-chinese-vaccine-11622648737?reflink=desktopwebshare_twitter via 
@WSJ",URL,18/06/2021 18:13:00,,"Rational, Emotional, Transactional",0,0,0,,,MISLEADING,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet misleads by pointing out that Bahrain changed their vaccines to Pfizer as a result of Sinovac being ineffective.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,329,189,106,-410,Pfizer,,INEFFICIENCY,YES; Vaccine Trials,"China, Bahrain",Walang kwenta,,
27-45,30/03/2023 17:32:15,https://twitter.com/Mustang0020/status/1594727875629850634?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, walang kwenta","@Mustang0020
",Blackwell,None,Anonymous,05/2021,45,129,Philippines,Kahit ano pa ang sabihin mo. Galing na sa CDC. May mga taong namatay sa COVID 19 Vaccines! Kahit ano pa ang dinadahilan mo. Walang kwenta yang sinasabi mong COVID 19 vaccine saves LIVES!,"No matter what you say. It's from the CDC. Some people have died from COVID 19 Vaccines! No matter what your excuse is. It's nonsense what you say COVID 19 vaccine saves LIVES!",Reply,22/11/2022 00:22:00,,Emotional,0,0,0,,,INACCURATE,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. Hence, it's inaccurate to say that vaccines are ineffective and it causes death.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",Lacks account bio and is not identifiable.,851,711,628,112,None,,"INEFFICIENCY, DEATH",YES; Vaccine Trials,CDC,Walang kwenta,,
27-46,30/03/2023 17:54:14,https://twitter.com/JunSandoval5/status/1371625612167757830?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, walang kwenta",@JunSandoval5,John Makabayan,Love My Country,Identified,04/2020,1652,687,"Carol Stream, Illinois","Gamitin mong hayop ka ang perang bilyon bilyon na inutang mo para sa COVID-19. SINOVAC at AtraZeneca, parehong walang kwenta. Saan mo gagamitin ang bilyones na pera kung hindi sa buhay ng mga mamayan ng Pilipinas. Bago sasabihin mong hindi mo iniwan ang mga Filipinos. Lintek ka.","Use the billions of billions of money you owe for COVID-19. SINOVAC and AtraZeneca, both worthless. Where will you use the billions of money if not for the lives of the people of the Philippines. Before you say you didn't leave the Filipinos. You are lazy.",Reply,16/03/2021 08:53:00,,Emotional,0,0,0,,,FALSE,"Despite Sinovac has an efficacy of 100% against severe COVID-19, and 100% against hospitalization.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]

AstraZeneca has an efficacy of 72% against symptomatic SARS-CoV-2 infection.

[https://www.who.int/news-room/feature-stories/detail/the-oxford-astrazeneca-covid-19-vaccine-what-you-need-to-know]",Account handle has a recognizable name.,235,95,12,-504,Multiple,None,INEFFICIENCY,YES; Vaccine Trials,Philippines,"Walang kwenta, hayop, lintek",,
27-47,30/03/2023 19:20:02,https://twitter.com/WillyDamian12/status/1483397741477007360?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, sakit, vaccine",@WillyDamian12,WillyDamian,None,Identified,11/2021,2,0,Philippines,Kht me vaccine me sakit pa rin Kya dapat tigil na Ang vaccine   dapat vaccine sa lgnat Ang Gawin nilang gamit hnd pra sa COVID,"Even though I'm vaccinated, I'm still sick so it should stop The vaccine should be a vaccine for fever What they use is not for COVID",Reply,18/01/2022 19:15:00,,Emotional,0,0,0,,,INACCURATE,"Indeed, vaccines can have some side effects, including fever and headache. However, it's inaccurate to say that we should stop the vaccination campaign as a result of this since our bodies are trying to build immunity from the virus due to the vaccine.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/expect/after.html#:~:text=side%20effects%20were%3A-,Fever,Pain%20at%20the%20injection%20site]",Lacks account bio but is identifiable through personal posts and photos.,543,403,320,-196,None,Flu (Lagnat) vaccine ,COVID ITSELF,YES; Vaccine Trials,None,None,,
27-48,30/03/2023 20:11:51,https://twitter.com/saintrichard/status/1553940762475503616?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, sakit, vaccine","@saintrichard
","Quo Vadis, Pinoy-""Salus Populi Est Suprema Lex!""","GALIT sa MAGNANAKAW, patay man o BUHAY!",Anonymous,04/2011,162,64,Philippines,"Fully Vaccinated pero covid-19 ang cause of death......naitanong ko tuloy, ano ba talaga ang dulot ng covid-19 vaccine?

ITO pala ANG SAKIT ni FIDEL RAMOS kaya PUMANAW https://youtu.be/KdwrToss3dQ via @YouTube","""Fully Vaccinated"" but covid-19 is the cause of death......I then asked, what does the covid-19 vaccine actually cause? THIS IS THE DISEASE OF FIDEL RAMOS so he PASSED AWAY https://youtu.be/KdwrToss3dQ via @YouTube",URL,01/08/2022 11:08:00,,Emotional,0,0,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. Hence, the tweet misleads by completely disregarding vaccines.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,738,598,515,-1,None,None,DEATH,YES; Other Conspiracy,Fidel V. Ramos,None,,
