ID,Timestamp (DD/MM/YY H:M:S),Tweet URL,Group,Collector,Category,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined (MM/YYYY),Following,Followers,Location,Context,Tweet,Tweet Translated,Tweet Type,Date Posted (DD/MM/YY H:M:S),Screenshot,Content Type,Likes,Replies,Retweets,Quote Tweets,Views,Rating,Reasoning,Remarks,"No. of Days since Philippines Joined the COVAX Facility (Jul 24, 2020)","No. of Days since FDA Approved the First COVID-19 Vaccine (Dec 11, 2020)","No. of Days since Arrival of First Batch of COVID-19 Vaccine Doses Committed by the COVAX Facility (Mar 04, 2021)","No. of Days since First Detected Cases of Omicron Variant in the Philippines (Aug 02, 2022)",Mentioned or Referenced COVID-19 Vaccine Brand,Mentioned or Referenced Other Vaccine/Drugs,Peddled Medical Adverse Side Effect,Distrust in Vaccine Development,"Racial, Religious, Cultural, Economic, or Socio-Political Keywords",Oppressive Keywords,Reviewer,Review
27-41,30/03/2023 12:25,https://twitter.com/Maria15002/status/1426457976798277633?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@Maria15002
","Maria
",None,Anonymous,Jan-18,786,416,Philippines,Health,"Ang usapin Ngayon 
@DrTonyLeachon
  bakit ngayong my bakuna na bt mas marami ang my covid? Bakit Sabi nyo mahawa man pg my bakuna Hindi malala bakit myroon nasaksakan na kritikal ng mgkaroon ng covid tas myroon kinabukasn Patay. Halos my bakuna ang my mga covid Ngayon?","The issue today 
@DrTonyLeachon
 is why now that my vaccine has more covid? Why did you say that even if I got infected with my vaccine, it's not bad, why are there people who have been critically stabbed with covid, and there are people who are dead the next day. My covids are almost my vaccine now?",Reply,14/08/2021 16:17,,Emotional,0,0,0,,,MISLEADING,"The spike in COVID cases during the posting of this tweet is due to the Delta variant. Increase in fatality rate was not caused by the vaccines.

[https://www.philstar.com/headlines/2021/08/01/2116853/ncr-spike-covid-19-cases-suggest-delta-variant-community-transmission-octa]",Lacks account bio and is not identifiable.,386,246,163,-353,None,None,"COVID ITSELF, DEATH",YES; Other Conspiracy,None,None,,
27-42,30/03/2023 12:51,https://twitter.com/kaliwatlapulapu/status/1388990739137409031?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, deadly","@kaliwatlapulapu
","Kaliwat Ni Lapu-lapu
","kaliwat ni lapu-lapu
",Anonymous,Dec-16,2072,226,Region VII,Racial,"Bakuna ng china 50%buhay ka, 50%patay ka

Cop who got 1st Sinovac dose dies of COVID-19

https://newsinfo.inquirer.net/1425825/cop-who-got-1st-sinovac-dose-dies-of-covid-19","China's vaccine is 50% alive, 50% dead

Cop who got 1st Sinovac dose dies of COVID-19

https://newsinfo.inquirer.net/1425825/cop-who-got-1st-sinovac-dose-dies-of-covid-19",URL,03/05/2021 6:56,,"Rational, Emotional",0,0,0,,,MISLEADING,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet misleads by claiming that Sinovac vaccines only has a 50% of keeping you safe and alive from COVID-19.  

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,283,143,60,-456,Sinovac/CoronaVac,None,DEATH,YES; Vaccine Trials,China,None,,
27-43,30/03/2023 14:16,https://twitter.com/itsleonorrivera/status/1420744316599685124?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, bakuna, effective",@itsleonorrivera,"Leonor Rivera 👑
",Name sake ng first love ni Gat Jose Rizal | Quiet in person | Outspoken sa Twitter | Microblogging my random thoughts | I block TROLLS 👻,Identified,Apr-21,984,1426,Philippines,Racial,"Ang masaklap, ay yung binibiling bakuna hindi effective laban sa Covid-19. Parang nasasayang lang yung budget di ba? Eh sa pagkakaalam ko, mas mahal ang Sinovac sa Pfizer. Pero Sinovac hindi naman effective

https://theguardian.com/world/2021/jun/28/indonesian-covid-deaths-add-to-questions-over-sinovac-vaccine","The worst thing is that the vaccine that is being bought is not effective against Covid-19. It seems like the budget is wasted, doesn't it? As far as I know, Sinovac is more expensive than Pfizer. But Sinovac is not effective

https://theguardian.com/world/2021/jun/28/indonesian-covid-deaths-add-to-questions-over-sinovac-vaccine",Reply,29/07/2021 9:53,,"Rational, Emotional",8,1,1,,,INACCURATE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is inaccurate since Sinovac vaccines are still effective against COVID-19. 

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]","Has a dubious location (""Middle Earth"").",370,230,147,-369,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Vaccine Trials,"budget, mas mahal",None,,
27-44,30/03/2023 17:17,https://twitter.com/FouSurLaColline/status/1405831028195741700?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, bakuna, walang kwenta","@FouSurLaColline
","Mali John II
","Smart and witty country bumpkin.
",Identified,Oct-12,1282,1330,"Maputo, Mozambique",Racial,"WALANG KWENTA KASI ANG BAKUNA NG TSINA

The Persian Gulf island nation of Bahrain, battling a sharp resurgence of Covid-19 despite high levels of inoculation with a Chinese-made vaccine, has started giving booster shots using the Pfizer shot

https://wsj.com/articles/bahrain-facing-a-covid-surge-starts-giving-pfizer-boosters-to-recipients-of-chinese-vaccine-11622648737?reflink=desktopwebshare_twitter via 
@WSJ","""BECAUSE CHINA'S VACCINE IS USELESS

The Persian Gulf island nation of Bahrain, battling a sharp resurgence of Covid-19 despite high levels of inoculation with a Chinese-made vaccine, has started giving booster shots using the Pfizer shot

https://wsj.com/articles/bahrain-facing-a-covid-surge-starts-giving-pfizer-boosters-to-recipients-of-chinese-vaccine-11622648737?reflink=desktopwebshare_twitter via 
@WSJ",URL,18/06/2021 18:13,,"Rational, Emotional, Transactional",0,0,0,,,MISLEADING,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet misleads by pointing out that Bahrain changed their vaccines to Pfizer as a result of Sinovac being ineffective.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,329,189,106,-410,Pfizer,None,INEFFICIENCY,YES; Vaccine Trials,"China, Bahrain",Walang kwenta,,
27-45,30/03/2023 17:32,https://twitter.com/Mustang0020/status/1594727875629850634?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, walang kwenta","@Mustang0020
",Blackwell,None,Anonymous,May-21,45,129,Philippines,Economic,Kahit ano pa ang sabihin mo. Galing na sa CDC. May mga taong namatay sa COVID 19 Vaccines! Kahit ano pa ang dinadahilan mo. Walang kwenta yang sinasabi mong COVID 19 vaccine saves LIVES!,"No matter what you say. It's from the CDC. Some people have died from COVID 19 Vaccines! No matter what your excuse is. It's nonsense what you say COVID 19 vaccine saves LIVES!
",Reply,22/11/2022 0:22,,Emotional,0,0,0,,,INACCURATE,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. Hence, it's inaccurate to say that vaccines are ineffective and it causes death.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]","Lacks account bio and is not identifiable.

This tweet is part of the same thread as 27-100",851,711,628,112,None,None,"INEFFICIENCY, DEATH",YES; Vaccine Trials,CDC,Walang kwenta,,
27-46,30/03/2023 17:54,https://twitter.com/JunSandoval5/status/1371625612167757830?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, walang kwenta",@JunSandoval5,John Makabayan,Love My Country,Identified,Apr-20,1652,687,"Carol Stream, Illinois",Culture-based,"Gamitin mong hayop ka ang perang bilyon bilyon na inutang mo para sa COVID-19. SINOVAC at AtraZeneca, parehong walang kwenta. Saan mo gagamitin ang bilyones na pera kung hindi sa buhay ng mga mamayan ng Pilipinas. Bago sasabihin mong hindi mo iniwan ang mga Filipinos. Lintek ka.","Use the billions of billions of money you owe for COVID-19. SINOVAC and AtraZeneca, both worthless. Where will you use the billions of money if not for the lives of the people of the Philippines. Before you say you didn't leave the Filipinos. You are lazy.",Reply,16/03/2021 8:53,,Emotional,0,0,0,,,FALSE,"Despite Sinovac has an efficacy of 100% against severe COVID-19, and 100% against hospitalization.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]

AstraZeneca has an efficacy of 72% against symptomatic SARS-CoV-2 infection.

[https://www.who.int/news-room/feature-stories/detail/the-oxford-astrazeneca-covid-19-vaccine-what-you-need-to-know]",Account handle has a recognizable name.,235,95,12,-504,Multiple,None,INEFFICIENCY,YES; Vaccine Trials,Philippines,"Walang kwenta, hayop, lintek",,
27-47,30/03/2023 19:20,https://twitter.com/WillyDamian12/status/1483397741477007360?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, sakit, vaccine",@WillyDamian12,WillyDamian,None,Identified,Nov-21,2,0,Philippines,Health,Kht me vaccine me sakit pa rin Kya dapat tigil na Ang vaccine   dapat vaccine sa lgnat Ang Gawin nilang gamit hnd pra sa COVID,"Even though I'm vaccinated, I'm still sick so it should stop The vaccine should be a vaccine for fever What they use is not for COVID",Reply,18/01/2022 19:15,,Emotional,0,0,0,,,INACCURATE,"Indeed, vaccines can have some side effects, including fever and headache. However, it's inaccurate to say that we should stop the vaccination campaign as a result of this since our bodies are trying to build immunity from the virus due to the vaccine.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/expect/after.html#:~:text=side%20effects%20were%3A-,Fever,Pain%20at%20the%20injection%20site]",Lacks account bio but is identifiable through personal posts and photos.,543,403,320,-196,None,Flu Vaccine,COVID ITSELF,YES; Vaccine Trials,None,None,,
27-48,30/03/2023 20:11,https://twitter.com/saintrichard/status/1553940762475503616?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, sakit, vaccine","@saintrichard
","Quo Vadis, Pinoy-""Salus Populi Est Suprema Lex!""
","GALIT sa MAGNANAKAW, patay man o BUHAY!
",Anonymous,Apr-11,162,64,Philippines,None,"Fully Vaccinated pero covid-19 ang cause of death......naitanong ko tuloy, ano ba talaga ang dulot ng covid-19 vaccine?

ITO pala ANG SAKIT ni FIDEL RAMOS kaya PUMANAW https://youtu.be/KdwrToss3dQ via @YouTube","""Fully Vaccinated"" but covid-19 is the cause of death......I then asked, what does the covid-19 vaccine actually cause? THIS IS THE DISEASE OF FIDEL RAMOS so he PASSED AWAY https://youtu.be/KdwrToss3dQ via @YouTube",URL,01/08/2022 11:08,,Emotional,0,0,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. Hence, the tweet misleads by completely disregarding vaccines.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,738,598,515,-1,None,None,DEATH,YES; Other Conspiracy,Fidel V. Ramos,None,,
27-49,30/03/2023 20:12,https://twitter.com/retromaldita/status/1484181357459021826?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, ineffective, bakuna","@retromaldita
","Donna | A beautiful world is at arm’s length
","Why are you in prison when the door is so wide open?
",Identified,Mar-11,337,326,Philippines,Culture-based,"Ano kaya minamadali nila? May hinahabol ba na quota? Kasi sa totoo lang kahit tatlong doses ineffective pa rin ang Covid bakuna (may mga na disable pa at namatay). Libre na nga, pinipilit pa sa mga tao. Hayagang pinupuwersa. Kasi kung hindi pilitin, walang magpapaloko sa mga ito.
","Why are they in such a hurry? Is there a quota being chased? Because in truth, even three doses of the Covid vaccine are still ineffective (some have even been disabled and died). It's free, it's still being forced on people. Overtly forced. Because if not forced, no one will fool them.
",Reply,20/01/2022 23:09,,"Rational, Emotional",1,0,0,,,FALSE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus. Hence, it's wrong to claim that vaccines are ineffective.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,545,405,322,-194,None,None,INEFFICIENCY,YES; Other Conspiracy,None,None,,
27-50,30/03/2023 20:50,https://twitter.com/retromaldita/status/1484082883065122816?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, infected, vaccinated","@retromaldita
","Donna | A beautiful world is at arm’s length
","Why are you in prison when the door is so wide open?
",Identified,Mar-11,337,326,Philippines,Health,"But even vaccinated people get infected, infect others, get critically I’ll or die from CoVid. 3 shots don’t work. How does that protect the vaccine-free?",,Reply,20/01/2022 16:38,,"Rational, Emotional",1,2,0,,,INACCURATE,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. Hence, the tweet is false by claiming that vaccines are ineffective.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,545,405,322,-194,None,None,"INEFFICIENCY, DEATH",YES; Vaccine Trials,None,None,,
27-51,30/03/2023 21:13,https://twitter.com/retromaldita/status/1479315225665216512?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, infected, vaccinated","@retromaldita
","Donna | A beautiful world is at arm’s length
","Why are you in prison when the door is so wide open?
",Identified,Mar-11,337,326,Philippines,Health,"Bakit? If both vaccinated & unvaccinated get infected & spread infection, ano’ng silbi ng pag require ng vaccine cards? Lalo na kung mga bakunado ay na-o-ospital at namamatay sa Covid? #masspsychosis #MassPsychosisFormation
","Why? If both vaccinated & unvaccinated get infected & spread infection, what's the point of requiring vaccine cards? Especially if vaccinated people are hospitalized and dying of Covid? #masspsychosis #MassPsychosisFormation",Reply,07/01/2022 12:53,,"Rational, Emotional",0,0,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. Hence, the tweet is misleading by disregarding the effectiveness of vaccines given that people can still get positive even if vaccinated.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,532,392,309,-207,None,None,"INEFFICIENCY, DEATH",YES; Other Conspiracy,None,None,,
27-52,30/03/2023 21:39,https://twitter.com/ReggaeSal/status/1387195582905675778?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, di epektib","@ReggaeSal
",Reggae Sal,"Nothing
",Anonymous,Feb-21,42,3,Philippines,Racial,Eh bat tumataas ang bilang ng covid cases🤣🤣🤣🤣🤣 di epektib ang galing sa China🤣🤣🤣,"Well, the number of covid cases is increasing 🤣🤣🤣🤣🤣 it's not effective from China 🤣🤣🤣
",Reply,28/04/2021 8:02,,Emotional,0,0,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. As a result, it's entirely possible for the number of cases to increase Hence, the tweet is misleading by correlating the number of cases to the Sinovac.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,278,138,55,-461,None,None,"INEFFICIENCY, COVID ITSELF",YES; Vaccine Distribution,China,None,,
27-53,30/03/2023 21:52,https://twitter.com/PinayNurseinNJ/status/1428045973838876674?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib","@PinayNurseinNJ
",ͶЯ 'ɐǝlɐz∀ 🎀🇵🇭🇺🇸🇺🇦 Vaxxed 5x💉,"HIS love never fails ☦ 💕Dogs Momma🐾🐶🐕🐩💕 Crafty RN. Make Jesus proud.
",Anonymous,Oct-09,648,97,"New Jersey, USA",Racial,Dapat ito ang inuna last quarter of 2020 eh. Mas marami sana ang mababakunahan kasi mas mura at mas epektib kontra covid kesa Sinovac na mas malaki ang kanilang kickvacc,It should be the priority last quarter of 2020. More people would have been vaccinated because it is cheaper and more effective against covid than Sinovac whose kickvacc (kickback) is bigger,Reply,19/08/2021 1:27,,Emotional,1,0,0,,,UNPROVEN,"According to WHO, we cannot directly compare vaccines to one another since each had different approaches in its production. Hence, the statement that Sinovac is less effective than Pfizer is unproven.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,391,251,168,-348,Multiple,None,INEFFICIENCY,YES; Other Conspiracy,"kickback, cheaper",None,,
27-54,30/03/2023 22:08,https://twitter.com/FouSurLaColline/status/1424914129979002881?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib","@FouSurLaColline
","Mali John II
","Smart and witty country bumpkin.
",Identified,Oct-12,1282,1330,"Maputo, Mozambique",Health,"Nagagalit sa vaccine 'yong isang kakilala ko kasi a week after s'yang mabakunahan ng 2nd dose of Sinovac ang ""side-effects"" daw sa kanya chills, joints & muscle pain, loss of sense of smell and taste and dry cough. Sabi ko, hindi side effects 'yan, SINTOMAS NG COVID, 'yan.
","A friend of mine is angry about the vaccine because a week after being vaccinated with the 2nd dose of Sinovac, the ""side-effects"" are said to be chills, joints & muscle pain, loss of sense of smell and taste and dry cough. I said, those are not side effects, those are SYMPTOMS OF COVID.
",Text,10/08/2021 10:02,,Emotional,43,5,4,1,,MISLEADING,"The tweet is misleading since COVID-19 vaccines can really cause side effects but they are not serious or dangerous enough to diminish the effectiveness of vaccines.

[https://www.hopkinsmedicine.org/health/conditions-and-diseases/coronavirus/covid-19-vaccines-myth-versus-fact]",,382,242,159,-357,Sinovac/CoronaVac,None,COVID ITSELF,YES; Other Conspiracy,None,None,,
27-55,30/03/2023 22:23,https://twitter.com/JonBFer/status/1425204415972081668?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib","@JonBFer
",JoBFer,Old soul. Loves life and what it has to offer.,Identified,Jun-19,111,276,NCR,Racial,"na ospital na ba? sabi ng 
@DOHgovph
 pag na sinovac na, hindi na ma ospital at mamatay sa covid. pag namatay yan, ibig sabihin talaga di epektib yan sinovac. sinovac pa more!!!","is that the hospital? 
@DOHgovph
 said that once sinovac is over, you can no longer be hospitalized and die of covid. if they die, it really means that sinovac is not effective. sinovac more!!!",Reply,11/08/2021 5:16,,Emotional,0,1,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you Therefore, you still have a chance to get hospitalized but you'll only experience mild symptoms. Hence, the tweet is misleading by pointing out that once a person has been vaccinated, it's a guarantee that they won't get hospitalized. 

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",This tweet is a reply to the tweet with ID 27-38.,383,243,160,-356,Sinovac/CoronaVac,None,"INEFFICIENCY, DEATH",YES; Other Conspiracy,DOH,None,,
27-56,30/03/2023 22:45,https://twitter.com/RobertoGariand1/status/1368775546469982210?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib",@RobertoGariand1,Roberto Gariando,electronics and electrical  consultant for projects and production. And management consultant .,Identified,Sep-20,46,4,"NCR, Taguig",Economic,"Mukha hinde epektib ang VACCINE na itinuturor . Dahil tumataas daw ang my covid viruz. Sa atin sa pilipinas. O dapat imbistigahan ang bilang ng pg taas ng ng kakaroon ng covid viruz. Gamita na kasi ng ANTIBIOTICS sa ubo ang mga na covid viruz . Para mawala viruz.
",The VACCINE being taught seems to be ineffective. Because my covid virus is worsening. To us in the Philippines. Or we should investigate the number of people who have the covid virus. Those who have covid virus already use ANTIBIOTICS for cough. To get rid of viruses.,Text,08/03/2021 12:08,,Emotional,0,0,0,,,MISLEADING,"Being fully-vaccinated doesn't mean you'll no longer get the virus. In fact, it is still possible for you to get positive although you'll only experience mild symptoms. As a result, it's entirely possible for the number of cases to increase Hence, the tweet is misleading by correlating the number of cases to the Sinovac.

[https://www.houstonmethodist.org/blog/articles/2021/aug/5-things-vaccinated-people-need-to-know-about-breakthrough-infection/#:~:text=In%20most%20cases%2C%20fully%20vaccinated,or%20experience%20only%20mild%20symptoms.]",,227,87,4,-512,None,Antibiotics,"INEFFICIENCY, COVID ITSELF",YES; Vaccine Trials,None,None,,
27-57,30/03/2023 22:53,https://twitter.com/GeneFajardo2/status/1340084737315102722?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, epektib",@GeneFajardo2,Brod Gene,Tuloy Ang Laban.,Identified,May-19,911,1235,Philippines,Racial,Ginoong Pangulo at Czar Vaccine : Nasaan ang Covid Vaccine? Yung epektib hindi ang SinoVac! #AsanAngCovidVaccine. Dapat ipa trend natin. #AsanAngCovidVaccine,Mr. President and Czar Vaccine : Where is the Covid Vaccine? SinoVac is not effective! #AsanAngCovidVaccine . We should make it a trend. #AsanAngCovidVaccine,Text,19/12/2020 8:01,,Emotional,1,0,0,,,FALSE,"Despite varying efficacy rates, all COVID-19 vaccine, in essence, are effective and will protect people against the virus. Hence, it's wrong to claim that vaccines are ineffective.

[https://www.rappler.com/newsbreak/iq/list-myths-covid-19-vaccines-debunked/]",,148,8,-75,-591,Sinovac/CoronaVac,None,INEFFICIENCY,YES; Other Conspiracy,"Pres. Rodrigo Duterte, Vaccine Czar Carlito Galvez Jr.",None,,
27-58,30/03/2023 22:54,https://twitter.com/RobertoGariand1/status/1441366264413257732?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, death",@RobertoGariand1,Roberto Gariando,electronics and electrical  consultant for projects and production. And management consultant .,Identified,Sep-20,46,4,"NCR, Taguig",Economic,TAPOSIN NA ANG COVID PANDEMIC SA PG PAPAINUM SA LAHAT NG ANTIBITIC SA UBO NG MAWALA ANG VIRUZ KUNG MEROON MAN. KASO PANLOLOKO LANG DOH MAFIA WHO ANG VIRUZ PARA MG PA BAKUNA TAYO AT MAMATAY SA MGA BAKUNA.,"END THE COVID PANDEMIC WITH GIVING ANTIBIOTICS TO PEOPLE WITH COUGHS TO CURE THE VIRUS IF THEY HAVE IT. THE VIRUS IS JUST A FRAUD CASE BY DOH, MAFIA, AND WHO SO THAT WE CAN GET VACCINATED AND DIE FROM THE VACCINES.",Text,24/09/2021 19:37,,Emotional,0,0,0,,,INACCURATE,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. Hence, it's inaccurate to say that vaccines are ineffective and it causes death.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",,427,287,204,-312,None,Antibiotics,DEATH,YES; Other Conspiracy,DOH,None,,
27-59,30/03/2023 22:57,https://twitter.com/RobertoGariand1/status/1408981365786243074?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID, death",@RobertoGariand1,Roberto Gariando,electronics and electrical  consultant for projects and production. And management consultant .,Identified,Sep-20,46,4,"NCR, Taguig",None,"They made a viruz that is not true that is NO CURE for it. And now they a vaccine that kills people that after two years . When you take the vaccines that they have created. So better take ANTIBIOTIC MEDICINES for cough that the vaccines that kills people after two years.
",,Image,27/06/2021 10:51,,Emotional,0,0,0,,,INACCURATE,"Despite the reports from CDC that COVID vaccines can cause death, it's only 0.0029% of the total vaccines administered from December 14, 2020, through March 1, 2023. Hence, it's inaccurate to say that vaccines are ineffective and it causes death.

[https://www.cdc.gov/coronavirus/2019-ncov/vaccines/safety/adverse-events.html]",,338,198,115,-401,None,Antibiotics,DEATH,YES; Other Conspiracy,None,None,,
27-60,30/03/2023 23:58,https://twitter.com/kaliwatlapulapu/status/1388991107640578049?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","COVID-19, bakuna, efficacy","@kaliwatlapulapu
","Kaliwat Ni Lapu-lapu
","kaliwat ni lapu-lapu
",Anonymous,Dec-16,2072,226,Region VII,Racial,"Kaya pala libre ang bakuna galing china kasi, 50/50 lang ang efficacy.
Cop who got 1st Sinovac dose dies of COVID-19",That's why the vaccine from China is free because the efficacy is only 50/50. Cop who got 1st Sinovac dose dies of COVID-19,URL,03/05/2021 6:57,,"Rational, Emotional",0,0,0,,,MISLEADING,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet misleads by claiming that Sinovac vaccines only has a 50% of keeping you safe and alive from COVID-19.  

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",,283,143,60,-456,Sinovac/CoronaVac,None,DEATH,YES; Vaccine Trials,China,None,,
27-61,31/03/2023 0:26,https://twitter.com/BongPhillips555/status/1409266234021933056?s=20,27,"Inukai, Masayuki",HLTH,"COVID-19 vaccines are not effective, can cause infections and/or death","vaccine, nakakamatay","@BongPhillips555
","EDWARD Phillips
",None,Identified,Jan-10,354,405,Philippines,Socio-political,"Kinakabahan na siguro yung mga Pinoy Healthcare Workers na naturukan ng Sinovac kasi naniwala sila sa propaganda na the best vaccine is what's available chuchu. 

Ayan, di pala effective, nakakamatay din. Sabi na kasing Western made ang bilhin. Tigas ulo ng D30 Admin. Sinocumita?","The Pinoy Healthcare Workers who were injected with Sinovac are probably nervous because they believed the propaganda that the best vaccine is what's available chuchu.

Well, it's not effective, it's also deadly. Said to buy as Western made. D30 Admin is stubborn. Sinocomita?",Text,28/06/2021 5:43,,Emotional,0,1,0,,,FALSE,"Despite Sinovac having a 51% efficacy againt SARS-CoV-2 infection, it has an efficacy of 100% against severe COVID-19, and 100% against hospitalization. Hence, the tweet is false since it claims that Sinovac vaccines are ineffective and it can even cause death.

[https://www.who.int/news-room/feature-stories/detail/the-sinovac-covid-19-vaccine-what-you-need-to-know]",Lacks account bio but is identifiable through profile engagements and personal posts.,339,199,116,-400,Sinovac/CoronaVac,None,"INEFFICIENCY, DEATH",YES; Vaccine Trials,"Western, Pres. Rodrigo Duterte, Pinoy Healthcare Workers",None,,
